"Name","Description","Tier","Internal Notes","Proposal For Change"
"virtual","Used to create nodes for routing in places where specific physical infrastructure doesn’t exist, where edges are split because attributes are different between them, or where other nodes don’t suit the purpose. 

Nodes are required between edges to build a routable network.
","3","",""
"curb_ramp","Indicates a location where a pedestrian must make a decision about which direction to travel, most commonly in locations where a curb ramp does or should exist. Curbs are nodes, connected to the graph network. Where double ramps or other configurations exist, map each ramp as its own curb_ramp node with its own attributes","1","As I wrote in an earlier comment, ramps are line features, not point features. They have a start point and an end point, and they have a length. The decision point about turning when a ped is at a street corner may be well removed from the (physical) ramp. Detectable warning strips can be modeled as points, but at most ramps, there is such a strip at only one end of the ramp.

At a side street crossing table, where the walking path elevation does not change as it crosses the street, is there a ""curb ramp""? There is a detectable warning strip, but there is no physical ramp.
","curb_interface

Where the pedestrian path outside the roadway meets the roadway (and the pedestrian path becomes a crossing). 

Where crossings are modeled as features (Tier 2 and higher), curb_interface is a node; where crossings are not modeled explicitly, curb_interface is a point associated with an edge containing sidewalk information. 

At multistage crossings, there is a curb_interface each time the pedestrian path enters or leaves the road.

[ADD DIAGRAM TO CLARIFY; EXAMPLE? OF TWO SCENARIOS IN PARA 2?]"
"elevator","Elevators, funiculars, or other car- or enclosure-based constructions meant to vertically carry a pedestrian from one level of physical infrastructure to another. 

NC-BPAID maps outdoor infrastructure; switch to GTFS Pathways or IMDF conventions for indoor infrastructure.","3","This is an edge, not a node  << When was this decided? Not sure how we'd implement since elevators move vertically, but we've focused on 2D mapping. Say more? - Jay

Do we distinguish ""escalator"" from ""elevator""? Do we consider ""stairs""? Maybe escalators and stairs are edges and elevators are nodes?","Remove as node, move to edge"
"transit_stop","A node indicating the location of a transit stop of any kind.","3","This is a point, not a node

Agree! Also, it is easy to find transit stop data. << A lot of folks in the accessibility working group wanted them to be nodes, for routing convenience. - Jay","Make a point"
"issue","A node indicating a particular point that has an issue relevant to routing for some travelers. Issue nodes mark points along an edge that may be of concern; other node types (such as curb ramps and signals) have their own issue attributes.","3","A point, not a node

Agree.","Make a point"
"traffic_calming","","3","Punt until draft #3

We have a set of traffic calming features from one of the associations that includes single point features (like bulbouts) and linear features (like chicanes). We created a traffic calming node and a traffic calming edge (or edge attribute) and divided the features in the taxonomy up based on their shape.

The crossing island example is interesting. For crossing peds and bikes, the path through the island is of interest, but we also have to know that that bit of path is on an island, out of traffic. Typcially, the way an island is represented is by modeling the road as two distinct centerlines, and the island is simply the non-road space between those two roads.

Right--I guess somebody could theoretically reconstruct that via the centerlines and the ""width"" attribute on each, and along with the spatial location of the CL notice that there's an area in the middle, but unclear how reliable that process would be... do you think we adequately allow for crossing islands or fall short somewhere?

I suppose our choices for type of edge should include, along with sidewalk and crossing, ""going thru crossing island"" . And to help make the situation visually clear, we can use polygons to draw islands; I think that will be useful.

OSM uses the `highway=footway`+`footway=traffic_island` for that, and `area:highway=traffic_island` for the area.",""
