"Applies to Edge Types","","","","","","","","","","","","","","","""Valid"" - Must put one of these values
""Recommened"" - Recommend this value but any value is accepted
"","","","","","","","","","","","","building_level","Level of the building or structure the path is on, as labelled for users inside the building. 

Intended to capture the fact that often floor 1 isn't the level at-grade and sometimes buildings skip floors or label below-grade floors ""B"" or ""SB"".","Text","N/A","","B","","","","","Add"
"optional","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","forbidden","status","Most recent operating status of the segment. Whether the infrastructure is open and available for use.

Default is ""open""","Enum","Valid","open, closed, under construction, planned, unknown","","","","","","Align with nodes field proposal for ""check_date"""
"optional","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional","optional","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional","forbidden","date_built","Indicates when the facility was officially opened for use. If the facility has had a major remodeling where the structure, shape or another fundamental aspect was changed, the date of remodeling can be placed here. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.","Date","NA","","2025-03
2014","","","","","Align with nodes field proposal for ""check_date"""
"optional","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional","optional","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional","forbidden","check_date","The date that this infrastructure was last inspected. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.","Date","NA","","2025-03
2014","","","","","Align with nodes field proposal of the same name"
"optional
T3:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","curb_height","Indicates typical height of the curb along this segment of the road; can be used in deciding whether to route specific pedestrians off the sidewalk when there are obstructions or discontinuities. Measured and rounded to the nearest inch. Cannot be negative.","Integer","NA","","","","","","",""
"forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","optional
T3:recommended","forbidden","forbidden","official","Indicates whether a trail has been officially designated by a government body or other recognized organization, with a string of the name of the recognizing body and/or a URL to the source/reference to the recognition for users to validate/verify/see additional information.","List<Text>","NA","","[""https://greenway.org/route-map""]
[""East Coast Greenway Alliance""]","","","","Add note about what satisfies ""official""?",""
"forbidden","optional","optional","optional","optional","optional","optional","optional","optional","optional","forbidden","forbidden","presence","Indicates whether the piece of infrastructure exists or is present. When other attributes are provided, the existence of the infrastructure can be assumed. This attribute is useful for identifying where a sidewalk or a crossing might be missing or where its presence is unknown. Conditionally required if no other identfiying fields supplied.","Enum","Valid","yes, no, missing, unknown","cycleway:left:presence=yes, cycleway:right:buffer:presence=yes","","","","Example doesn't match the description--clarify one or the other or both?",""
"optional","optional
T2:recommended","optional
T3:recommended","optional
T2:recommended","optional
T3:recommended","optional","optional","optional","optional
T3:recommended","optional
T3:recommended","optional","optional","measured_length","The measured length of the edge in feet. 

Note that geospatial data also contains a length attribute by default that may be useful in some cases. Measuring the traversable length of the segment is preferable.","Float","NA","","","","","","",""
"forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","bikeway_type","Common name used for the bicycle facility type. Should align with the National Bikeway Network, NACTO, or AASHTO facility types.","Text","Recommended","Bike Lane
Buffered Bike Lane
Separated Bike Lane
Counter-Flow Bike Lane
Paved Shoulder
Shared Lane ","","","","","What if we just make the categories more generic and have a ""features"" attribute where we can add one or more of these ""tags"" that modify the element? 

So it's just ""bike lane"" as the overarching type, but then the features can include ""separated, contraflow, buffered"" etc.",""
"forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","optional
T2:recommended
T3:required","forbidden","forbidden","forbidden","forbidden","bikeway_grade_separation","The vertical level of the bikeway with respect to the road. Not meant for bikeways that are not road associated.","Enum","Valid","at_grade
raised
sidewalk_level","","","","","the city of philadelphia has introduced curbless streets, where sidewalks are ""at_grade"". This means that for cycle tracks which are located in curbless streets, it would be confusing on whether they should be identified as at_grade or sidewalk_level",""
